TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315966745.5551628,00000000-0000-0000-0000-000000000000,AV,140.94170501915823,2469.719996485895,MIA
315966745.5551628,00000000-0000-0000-0000-000000001040,OTHERS,159.15558961937862,2473.393098088357,MIA
315966745.5551628,00000000-0000-0000-0000-000000001167,OTHERS,158.9043416964152,2501.442457184209,MIA
315966745.5551628,00000000-0000-0000-0000-000000001264,OTHERS,159.48501148914082,2487.075417849331,MIA
315966745.5551628,00000000-0000-0000-0000-000000001358,OTHERS,158.10283474532068,2406.9061227852153,MIA
315966745.5551628,00000000-0000-0000-0000-000000001322,OTHERS,151.20492040418938,2429.014664358841,MIA
315966745.5551628,00000000-0000-0000-0000-000000001333,OTHERS,152.24456436779846,2467.7763324021803,MIA
315966745.5551628,00000000-0000-0000-0000-000000001042,OTHERS,115.92129743759183,2466.8851306093147,MIA
315966745.5551628,00000000-0000-0000-0000-000000001136,OTHERS,160.10538441291632,2458.709310917693,MIA
315966745.5551628,00000000-0000-0000-0000-000000001359,AGENT,148.85608500325898,2518.863084181686,MIA
315966745.5551628,00000000-0000-0000-0000-000000001151,OTHERS,159.4907166050959,2493.0220961955324,MIA
315966745.5551628,00000000-0000-0000-0000-000000001324,OTHERS,158.45423942916514,2508.713935717147,MIA
315966745.5551628,00000000-0000-0000-0000-000000001354,OTHERS,162.05970851079357,2466.095405203196,MIA
315966745.6616261,00000000-0000-0000-0000-000000000000,AV,140.9419871284097,2469.719509968981,MIA
315966745.6616261,00000000-0000-0000-0000-000000001040,OTHERS,159.2114427513898,2473.344500576245,MIA
315966745.6616261,00000000-0000-0000-0000-000000001167,OTHERS,158.89375109035953,2501.4817713511725,MIA
315966745.6616261,00000000-0000-0000-0000-000000001264,OTHERS,159.48432176068698,2487.0421322349866,MIA
315966745.6616261,00000000-0000-0000-0000-000000001358,OTHERS,157.96348529095286,2407.812581164235,MIA
315966745.6616261,00000000-0000-0000-0000-000000001322,OTHERS,151.15929946284402,2428.6626838663337,MIA
315966745.6616261,00000000-0000-0000-0000-000000001333,OTHERS,152.31579477648398,2466.649220013825,MIA
315966745.6616261,00000000-0000-0000-0000-000000001042,OTHERS,115.9281807266128,2466.8540621679754,MIA
315966745.6616261,00000000-0000-0000-0000-000000001136,OTHERS,160.09749807466042,2458.605196751675,MIA
315966745.6616261,00000000-0000-0000-0000-000000001359,AGENT,148.97455797636204,2517.230095212156,MIA
315966745.6616261,00000000-0000-0000-0000-000000001151,OTHERS,159.41727449638702,2492.995427129339,MIA
315966745.6616261,00000000-0000-0000-0000-000000001324,OTHERS,158.4905431249696,2508.7683789793946,MIA
315966745.6616261,00000000-0000-0000-0000-000000001354,OTHERS,162.05970851079357,2466.095405203196,MIA
315966745.7606248,00000000-0000-0000-0000-000000000000,AV,140.94329622573838,2469.717298700753,MIA
315966745.7606248,00000000-0000-0000-0000-000000001040,OTHERS,159.18795729116232,2473.3310762112706,MIA
315966745.7606248,00000000-0000-0000-0000-000000001167,OTHERS,158.7904064543282,2501.471896207794,MIA
315966745.7606248,00000000-0000-0000-0000-000000001264,OTHERS,159.4793969841266,2487.029670064413,MIA
315966745.7606248,00000000-0000-0000-0000-000000001354,OTHERS,162.05970851079357,2466.095405203196,MIA
315966745.7606248,00000000-0000-0000-0000-000000001358,OTHERS,157.9606778397688,2408.904498338453,MIA
315966745.7606248,00000000-0000-0000-0000-000000001322,OTHERS,151.24047440041474,2428.1384568165367,MIA
315966745.7606248,00000000-0000-0000-0000-000000001333,OTHERS,152.4072981152386,2465.5070380678612,MIA
315966745.7606248,00000000-0000-0000-0000-000000001042,OTHERS,115.93464898679407,2466.866227265734,MIA
315966745.7606248,00000000-0000-0000-0000-000000001136,OTHERS,160.20375733690503,2458.831751350118,MIA
315966745.7606248,00000000-0000-0000-0000-000000001359,AGENT,148.8769606336217,2516.027741206436,MIA
315966745.7606248,00000000-0000-0000-0000-000000001151,OTHERS,159.40714373478443,2493.013619237085,MIA
315966745.7606248,00000000-0000-0000-0000-000000001324,OTHERS,158.44598018693262,2508.7420546640074,MIA
315966745.86073214,00000000-0000-0000-0000-000000000000,AV,140.94378384741634,2469.7169841637383,MIA
315966745.86073214,00000000-0000-0000-0000-000000001040,OTHERS,159.13254847508136,2473.282284409689,MIA
315966745.86073214,00000000-0000-0000-0000-000000001167,OTHERS,158.8360294381219,2501.4391557136137,MIA
315966745.86073214,00000000-0000-0000-0000-000000001264,OTHERS,159.4865555611254,2487.0459984605955,MIA
315966745.86073214,00000000-0000-0000-0000-000000001354,OTHERS,161.82572961993338,2465.946711823923,MIA
315966745.86073214,00000000-0000-0000-0000-000000001358,OTHERS,157.9090265426785,2409.4600095878245,MIA
315966745.86073214,00000000-0000-0000-0000-000000001322,OTHERS,151.3544782797483,2427.692550645093,MIA
315966745.86073214,00000000-0000-0000-0000-000000001333,OTHERS,152.41842946418492,2464.197287277316,MIA
